T,Cp,H(@Fcc)
K,J/(mole K),
1117,33.56736365,7535.96019
1119,33.59232869,7569.665246
1121,33.61734357,7603.285236
1123,33.64240276,7636.819176
1125,33.66752288,7670.26609
1127,33.69267107,7703.624985
1129,33.71782494,7736.894866
1131,33.74307622,7770.07472
1133,33.76832729,7803.163543
1135,33.79360927,7836.16031
1137,33.81895233,7869.063991
1139,33.84427965,7901.873556
1141,33.8696713,7934.587957
1143,33.89507336,7967.206154
1145,33.92047497,7999.727085
1147,33.94589931,8032.149691
1149,33.97133852,8064.472896
1151,33.99677711,8096.695636
1153,34.02220701,8128.816819
1155,34.04766353,8160.835364
1157,34.0730892,8192.750168
1159,34.09853457,8224.56014
1161,34.12395381,8256.264167
1163,34.14935559,8287.861143
1165,34.174739,8319.349942
1167,34.20007944,8350.729446
1169,34.22542719,8381.998532
1171,34.25071336,8413.156063
1173,34.27598766,8444.200896
1175,34.30118563,8475.131892
1177,34.32636133,8505.947911
1179,34.35145453,8536.647795
1181,34.37655548,8567.230386
1183,34.40153701,8597.694532
1185,34.42647359,8628.039069
1187,34.45135924,8658.262831
1189,34.47610813,8688.36464
1191,34.5008111,8718.343346
1193,34.52543258,8748.197759
1195,34.54992897,8777.926705
1197,34.5743516,8807.529005
1199,34.59865931,8837.003488
1201,34.6228469,8866.34897
1203,34.64692151,8895.564265
1205,34.67086215,8924.648188
1207,34.69469211,8953.599565
1209,34.71837124,8982.417208
1211,34.7418804,9011.099936
1213,34.7652672,9039.646565
1215,34.78847787,9068.055921
1217,34.81152781,9096.326822
1219,34.83440137,9124.458086
1221,34.85709994,9152.448546
1223,34.87960657,9180.297026
1225,34.90188251,9208.002361
1227,34.92397634,9235.563382
1229,34.94586252,9262.978927
1231,34.96752103,9290.247846
1233,34.98894258,9317.368981
1235,35.01013379,9344.341195
1237,35.03107121,9371.16334
1239,35.05173686,9397.834287
1241,35.07214678,9424.352909
1243,35.0922987,9450.71809
1245,35.11212417,9476.928716
1247,35.13168439,9502.983687
1249,35.15092196,9528.881912
1251,35.16981577,9554.622306
1253,35.18843424,9580.2038
1255,35.20669042,9605.625327
1257,35.22461592,9630.885849
1259,35.24215532,9655.984319
1261,35.25933651,9680.919714
1263,35.27614841,9705.691023
1265,35.29254352,9730.297256
1267,35.30857311,9754.737425
1269,35.32415979,9779.010565
1271,35.33932533,9803.115725
1273,35.3540392,9827.051974
1275,35.36830381,9850.8184
1277,35.38210534,9874.414095
1279,35.39543714,9897.838185
1281,35.40826245,9921.089816
1283,35.42058806,9944.168143
1285,35.43240545,9967.072351
1287,35.44368049,9989.801646
1289,35.45442888,10012.35525
1291,35.46458623,10034.73243
1293,35.47419168,10056.93243
1295,35.48322054,10078.95458
1297,35.49161905,10100.79819
1299,35.49942572,10122.46261
1301,35.50656514,10143.94722
1303,35.51309004,10165.25143
1305,35.51893081,10186.37473
1307,35.52409956,10207.31647
1309,35.52858289,10228.07621
1311,35.53231093,10248.65346
1313,35.53532651,10269.0478
1315,35.53762646,10289.25879
1317,35.5391338,10309.28609
1319,35.53988277,10329.12933
1321,35.53980003,10348.78821
1323,35.53890953,10368.26246
1325,35.53722956,10387.55185
1327,35.53462732,10406.65617
1329,35.53119736,10425.57527
1331,35.52687547,10444.30903
1333,35.52161039,10462.85736
1335,35.51543693,10481.22023
1337,35.50832022,10499.39763
1339,35.50021104,10517.3896
1341,35.49114077,10535.19623
1343,35.48102676,10552.81764
1345,35.46989258,10570.254
1347,35.45774437,10587.50553
1349,35.44445604,10604.57248
1351,35.4301222,10621.45517
1353,35.41464859,10638.15394
1355,35.39803405,10654.66919
1357,35.3802408,10671.00136
1359,35.36126875,10687.15094
1361,35.34111297,10703.11849
1363,35.31968616,10718.9046
1365,35.2970305,10734.50988
1367,35.2730568,10749.93506
1369,35.24777764,10765.18085
1371,35.22116985,10780.24806
1373,35.19322341,10795.13753
1375,35.16387025,10809.85015
1377,35.13310149,10824.38688
1379,35.10089315,10838.74798
1381,35.06723412,10852.93591
